PKNCA,CDISC,unit_type,pretty_name,label,description,FUN,is_cdisc_sure,Dataset
aucint.inf.pred.dose,AUCINTPD,auc,"AUCint (based on AUCinf,pred extrapolation, dose-aware)","AUCint (based on AUCinf,pred extrapolation, dose-aware)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with the triangle from Tlast to the next point and zero thereafter (matching AUCall) with dose-aware interpolation/extrapolation of concentrations,pk.calc.aucint.inf.pred,F,ADPP
aucint.last,AUCINT,auc,AUCint (based on AUClast extrapolation),AUCint (based on AUClast extrapolation),The area under the concentration time curve in the interval extrapolating from Tlast to infinity with zeros (matching AUClast),pk.calc.aucint.last,T,ADPP
aucint.last.dose,AUCINTD,auc,"AUCint (based on AUClast extrapolation, dose-aware)","AUCint (based on AUClast extrapolation, dose-aware)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with zeros (matching AUClast) with dose-aware interpolation/extrapolation of concentrations,pk.calc.aucint.last,T,ADPP
aucivall,AUCIVA,auc,AUCall (IV dosing),AUCall (IV dosing),The AUCall calculated with back-extrapolation for intravenous dosing using extrapolated C0,pk.calc.auciv,F,ADPP
aucivinf.obs,AUCIVIS,auc,"AUCinf,obs (IV dosing)","AUCinf,obs (IV dosing)","The AUCinf,obs calculated with back-extrapolation for intravenous dosing using extrapolated C0",pk.calc.auciv,F,ADPP
aucivinf.pred,AUCIVIP,auc,"AUCinf,pred (IV dosing)","AUCinf,pred (IV dosing)",The calculated with back-extrapolation for intravenous dosing using extrapolated C0,pk.calc.auciv,F,ADPP
aucivint.all,AUCIVINA,auc,"AUCint,all (IV dosing)","AUCint,all (IV dosing)","The AUCint,all calculated with back-extrapolation for intravenous dosing using extrapolated C0",pk.calc.auciv,F,ADPP
aucivint.last,AUCIVILT,auc,"AUCint,last (IV dosing)","AUCint,last (IV dosing)","The AUCint,last calculated with back-extrapolation for intravenous dosing using extrapolated C0",pk.calc.auciv,F,ADPP
aucivlast,AUCIVLST,auc,AUClast (IV dosing),AUClast (IV dosing),The AUClast calculated with back-extrapolation for intravenous dosing using extrapolated C0,pk.calc.auciv,F,ADPP
aucivpbextall,AUCIVPEA,%,AUCbext (based on AUCall),AUCbext (based on AUCall),The back-extrapolation percent for intravenous dosing based on AUCall,pk.calc.auciv_pbext,F,ADPP
aucivpbextinf.obs,AUCIVPEI,%,"AUCbext (based on AUCinf,obs)","AUCbext (based on AUCinf,obs)","The back-extrapolation percent for intravenous dosing based on AUCinf,obs",pk.calc.auciv_pbext,F,ADPP
aucivpbextinf.pred,AUCIVPEP,%,"AUCbext (based on AUCinf,pred)","AUCbext (based on AUCinf,pred)","The back-extrapolation percent for intravenous dosing based on AUCinf,pred",pk.calc.auciv_pbext,F,ADPP
aucivpbextint.all,AUCIVPIA,%,"AUCbext (based on AUCint,all)","AUCbext (based on AUCint,all)","The back-extrapolation percent for intravenous dosing based on AUCint,all",pk.calc.auciv_pbext,F,ADPP
aucivpbextint.last,AUCIVPIL,%,"AUCbext (based on AUCint,last)","AUCbext (based on AUCint,last)","The back-extrapolation percent for intravenous dosing based on AUCint,last",pk.calc.auciv_pbext,F,ADPP
aucivpbextlast,AUCIVPLT,%,AUCbext (based on AUClast),AUCbext (based on AUClast),The back-extrapolation percent for intravenous dosing based on AUClast,pk.calc.auciv_pbext,F,ADPP
auclast,AUCLST,auc,AUClast,AUClast,The area under the concentration time curve from the beginning of the interval to the last concentration above the limit of quantification,pk.calc.auc.last,T,ADPP
auclast.dn,AUCLSTD,auc_dosenorm,AUClast (dose-normalized),AUClast (dose-normalized),Dose normalized auclast,pk.calc.dn,T,ADPP
aucpext.obs,AUCPEO,%,"AUCpext (based on AUCinf,obs)","AUCpext (based on AUCinf,obs)",Percent of the AUCinf that is extrapolated after Tlast calculated from the observed Clast,pk.calc.aucpext,T,ADPP
aucpext.pred,AUCPEP,%,"AUCpext (based on AUCinf,pred)","AUCpext (based on AUCinf,pred)",Percent of the AUCinf that is extrapolated after Tlast calculated from the predicted Clast,pk.calc.aucpext,T,ADPP
aumcall,AUMCALL,aumc,"AUMC,all","AUMC,all",The area under the concentration time moment curve from the beginning of the interval to the last concentration above the limit of quantification plus the moment of the triangle from that last concentration to 0 at the first concentration below the limit of quantification,pk.calc.aumc.all,F,ADPP
aumcall.dn,AUMCALLD,aumc_dosenorm,"AUMC,all (dose-normalized)","AUMC,all (dose-normalized)",Dose normalized aumcall,pk.calc.dn,F,ADPP
aumcinf.obs,AUMCIFO,aumc,"AUMC,inf,obs","AUMC,inf,obs",The area under the concentration time moment curve from the beginning of the interval to infinity with extrapolation to infinity from the observed Clast,pk.calc.aumc.inf.obs,T,ADPP
aumcinf.obs.dn,AUMCIFOD,aumc_dosenorm,"AUMC,inf,obs (dose-normalized)","AUMC,inf,obs (dose-normalized)",Dose normalized aumcinf.obs,pk.calc.dn,T,ADPP
aumcinf.pred,AUMCIFP,aumc,"AUMC,inf,pred","AUMC,inf,pred",The area under the concentration time moment curve from the beginning of the interval to infinity with extrapolation to infinity from the predicted Clast,pk.calc.aumc.inf.pred,T,ADPP
aumcinf.pred.dn,AUMCIFPD,aumc_dosenorm,"AUMC,inf,pred (dose-normalized)","AUMC,inf,pred (dose-normalized)",Dose normalized aumcinf.pred,pk.calc.dn,T,ADPP
aumclast,AUMCLST,aumc,"AUMC,last","AUMC,last",The area under the concentration time moment curve from the beginning of the interval to the last concentration above the limit of quantification,pk.calc.aumc.last,T,ADPP
aumclast.dn,AUMCLSTD,aumc_dosenorm,"AUMC,last (dose-normalized)","AUMC,last (dose-normalized)",Dose normalized aumclast,pk.calc.dn,T,ADPP
c0,C0,conc,C0,C0,Initial concentration after an IV bolus,pk.calc.c0,T,ADPP
cav,CAVG,conc,Cav,Cav,The average concentration during an interval (calculated with AUClast),pk.calc.cav,T,ADPP
cav.dn,CAVGD,conc_dosenorm,Cav (dose-normalized),Cav (dose-normalized),Dose normalized cav,pk.calc.dn,T,ADPP
cav.int.all,CAVGINA,conc,Cav,Cav,The average concentration during an interval (calculated with AUCint.all),pk.calc.cav,F,ADPP
cav.int.inf.obs,CAVGINO,conc,Cav,Cav,The average concentration during an interval (calculated with AUCint.inf.obs),pk.calc.cav,F,ADPP
cav.int.inf.pred,CAVGINP,conc,Cav,Cav,The average concentration during an interval (calculated with AUCint.inf.pred),pk.calc.cav,F,ADPP
cav.int.last,CAVGINT,conc,Cav,Cav,The average concentration during an interval (calculated with AUCint.last),pk.calc.cav,T,ADPP
ceoi,CEOI,conc,Ceoi,Ceoi,Concentration at the end of infusion,pk.calc.ceoi,F,ADPP
cl.all,CLALL,clearance,CL (based on AUCall),CL (based on AUCall),Clearance or observed oral clearance calculated with AUCall,pk.calc.cl,F,ADPP
cl.last,CLLST,clearance,CL (based on AUClast),CL (based on AUClast),Clearance or observed oral clearance calculated to Clast,pk.calc.cl,F,ADPP
cl.obs,CLOS,clearance,"CL (based on AUCinf,obs)","CL (based on AUCinf,obs)",Clearance or observed oral clearance calculated with observed Clast,pk.calc.cl,T,ADPP
cl.pred,CLP,clearance,"CL (based on AUCinf,pred)","CL (based on AUCinf,pred)",Clearance or observed oral clearance calculated with predicted Clast,pk.calc.cl,T,ADPP
clast.obs,CLST,conc,Clast,Clast,The last concentration observed above the limit of quantification,pk.calc.clast.obs,T,ADPP
clast.obs.dn,CLSTD,conc_dosenorm,Clast (dose-normalized),Clast (dose-normalized),Dose normalized clast.obs,pk.calc.dn,T,ADPP
clast.pred,CLSTP,conc,"Clast,pred","Clast,pred",The concentration at Tlast as predicted by the half-life,,F,ADPP
clast.pred.dn,CLSTPD,conc_dosenorm,"Clast,pred (dose-normalized)","Clast,pred (dose-normalized)",Dose normalized clast.pred,pk.calc.dn,F,ADPP
clr.last,RENALCL,renal_clearance,Renal clearance (from AUClast),Renal clearance (from AUClast),The renal clearance calculated using AUClast,pk.calc.clr,T,ADPP
clr.obs,RENALCLO,renal_clearance,"Renal clearance (from AUCinf,obs)","Renal clearance (from AUCinf,obs)","The renal clearance calculated using AUCinf,obs",pk.calc.clr,F,ADPP
clr.pred,RENALCLP,renal_clearance,"Renal clearance (from AUCinf,pred)","Renal clearance (from AUCinf,pred)","The renal clearance calculated using AUCinf,pred",pk.calc.clr,F,ADPP
cmax,CMAX,conc,Cmax,Cmax,Maximum observed concentration,pk.calc.cmax,T,ADPP
cmax.dn,CMAXD,conc_dosenorm,Cmax (dose-normalized),Cmax (dose-normalized),Dose normalized cmax,pk.calc.dn,T,ADPP
cmin,CMIN,conc,Cmin,Cmin,Minimum observed concentration,pk.calc.cmin,T,ADPP
cmin.dn,CMIND,conc_dosenorm,Cmin (dose-normalized),Cmin (dose-normalized),Dose normalized cmin,pk.calc.dn,T,ADPP
count_conc,CNTCONC,count,Concentration count,Concentration count,Number of non-missing concentrations for a subject,pk.calc.count_conc,F,ADPP
cstart,CSTART,conc,Cstart,Cstart,The predose concentration,pk.calc.cstart,F,ADPP
ctrough,CTROUGH,conc,Ctrough,Ctrough,The trough (end of interval) concentration,pk.calc.ctrough,T,ADPP
ctrough.dn,CTROUGHD,conc_dosenorm,Ctrough (dose-normalized),Ctrough (dose-normalized),Dose normalized ctrough,pk.calc.dn,T,ADPP
deg.fluc,DEGFLUC,%,Degree of fluctuation,Degree of fluctuation,Degree of fluctuation,pk.calc.deg.fluc,F,ADPP
f,FREL_FAB,fraction,Bioavailability,Bioavailability,Bioavailability or relative bioavailability,pk.calc.f,T,ADPP
fe,FE,fraction,Fraction excreted,Fraction excreted,The fraction of the dose excreted,pk.calc.fe,T,ADPP
half.life,LAMZHL,time,Half-life,Half-life,The (terminal) half-life,pk.calc.half.life,T,ADPP
kel.iv.last,KELIVLT,inverse_time,"Kel (for IV dosing, based on AUClast)","Kel (for IV dosing, based on AUClast)",Elimination rate (as calculated from the intravenous MRTlast),pk.calc.kel,F,ADPP
kel.iv.obs,KELIVOS,inverse_time,"Kel (for IV dosing, based on AUCinf,obs)","Kel (for IV dosing, based on AUCinf,obs)",Elimination rate (as calculated from the intravenous MRTobs),pk.calc.kel,F,ADPP
kel.iv.pred,KELIVP,inverse_time,"Kel (for IV dosing, based on AUCinf,pred)","Kel (for IV dosing, based on AUCinf,pred)",Elimination rate (as calculated from the intravenous MRTpred),pk.calc.kel,F,ADPP
kel.last,KELLST,inverse_time,Kel (based on AUClast),Kel (based on AUClast),Elimination rate (as calculated from the MRT using AUClast),pk.calc.kel,F,ADPP
kel.obs,KELOS,inverse_time,"Kel (based on AUCinf,obs)","Kel (based on AUCinf,obs)",Elimination rate (as calculated from the MRT with observed Clast),pk.calc.kel,F,ADPP
kel.pred,KELP,inverse_time,"Kel (based on AUCinf,pred)","Kel (based on AUCinf,pred)",Elimination rate (as calculated from the MRT with predicted Clast),pk.calc.kel,F,ADPP
lambda.z,LAMZ,inverse_time,$\lambda_z$,Lambda z,The elimination rate of the terminal half-life,,T,ADPP
lambda.z.n.points,LAMZNPT,count,Number of points used for lambda_z,Number of points used for lambda_z,The number of points used for the calculation of half-life,,T,ADPP
lambda.z.time.first,LAMZLL,time,First time for $\lambda_z$,First time for $\lambda_z$,The first time point used for the calculation of half-life,,T,ADPP
mrt.iv.last,MRTIVLT,time,"MRT (for IV dosing, based on AUClast)","MRT (for IV dosing, based on AUClast)",The mean residence time to the last observed concentration above the LOQ correcting for dosing duration,pk.calc.mrt.iv,T,ADPP
mrt.iv.obs,MRTIVIS,time,"MRT (for IV dosing, based on AUCinf,obs)","MRT (for IV dosing, based on AUCinf,obs)",The mean residence time to infinity using observed Clast correcting for dosing duration,pk.calc.mrt.iv,T,ADPP
mrt.iv.pred,MRTIVIP,time,"MRT (for IV dosing, based on AUCinf,pred)","MRT (for IV dosing, based on AUCinf,pred)",The mean residence time to infinity using predicted Clast correcting for dosing duration,pk.calc.mrt.iv,T,ADPP
mrt.last,MRTLST,time,MRT (based on AUClast),MRT (based on AUClast),The mean residence time to the last observed concentration above the LOQ,pk.calc.mrt,T,ADPP
mrt.md.obs,MRTMDO,time,"MRT (for multiple dosing, based on AUCinf,obs)","MRT (for multiple dosing, based on AUCinf,obs)",The mean residence time with multiple dosing and nonlinear kinetics using observed Clast,pk.calc.mrt.md,F,ADPP
mrt.md.pred,MRTMDP,time,"MRT (for multiple dosing, based on AUCinf,pred)","MRT (for multiple dosing, based on AUCinf,pred)",The mean residence time with multiple dosing and nonlinear kinetics using predicted Clast,pk.calc.mrt.md,F,ADPP
mrt.obs,MRTEVIS,time,"MRT (based on AUCinf,obs)","MRT (based on AUCinf,obs)",The mean residence time to infinity using observed Clast,pk.calc.mrt,T,ADPP
mrt.pred,MRTEVIP,time,"MRT (based on AUCinf,pred)","MRT (based on AUCinf,pred)",The mean residence time to infinity using predicted Clast,pk.calc.mrt,T,ADPP
ptr,PTROUGHR,fraction,Peak-to-trough ratio,Peak-to-trough ratio,Peak-to-Trough ratio (fraction),pk.calc.ptr,T,ADPP
r.squared,R2,unitless,$r^2$,$r^2$,The r^2 value of the half-life calculation,,T,ADPP
span.ratio,SPANRTIO,fraction,Span ratio,Span ratio,The ratio of the half-life to the duration used for half-life calculation,,T,ADPP
sparse_auc_df,SPARSEAD,count,Sparse AUClast degrees of freedom,Sparse AUClast degrees of freedom,"For sparse PK sampling, the standard error degrees of freedom of the area under the concentration time curve from the beginning of the interval to the last concentration above the limit of quantification",,F,ADPP
sparse_auc_se,SPARSEAS,auc,Sparse AUClast standard error,Sparse AUClast standard error,"For sparse PK sampling, the standard error of the area under the concentration time curve from the beginning of the interval to the last concentration above the limit of quantification",,F,ADPP
sparse_auclast,SPARSEAL,auc,Sparse AUClast,Sparse AUClast,"For sparse PK sampling, the area under the concentration time curve from the beginning of the interval to the last concentration above the limit of quantification",pk.calc.sparse_auclast,F,ADPP
swing,SWING,%,Swing,Swing,Swing relative to Cmin,pk.calc.swing,T,ADPP
tfirst,TFIRST,time,Tfirst,Tfirst,Time of the first concentration above the limit of quantification,pk.calc.tfirst,F,ADPP
thalf.eff.iv.last,TEIVLHL,time,"Effective half-life (for IV dosing, based on MRTlast)","Effective half-life (for IV dosing, based on MRTlast)",The effective half-life (as determined from the intravenous MRTlast),pk.calc.thalf.eff,F,ADPP
thalf.eff.iv.obs,TEIVSHL,time,"Effective half-life (for IV dosing, based on MRT,obs)","Effective half-life (for IV dosing, based on MRT,obs)",The effective half-life (as determined from the intravenous MRTobs),pk.calc.thalf.eff,F,ADPP
thalf.eff.iv.pred,TEIVPHL,time,"Effective half-life (for IV dosing, based on MRT,pred)","Effective half-life (for IV dosing, based on MRT,pred)",The effective half-life (as determined from the intravenous MRTpred),pk.calc.thalf.eff,F,ADPP
thalf.eff.last,EFFHL,time,"Effective half-life (based on MRT,last)","Effective half-life (based on MRT,last)",The effective half-life (as determined from the MRTlast),pk.calc.thalf.eff,T,ADPP
thalf.eff.obs,TEFFOSHL,time,"Effective half-life (based on MRT,obs)","Effective half-life (based on MRT,obs)",The effective half-life (as determined from the MRTobs),pk.calc.thalf.eff,F,ADPP
thalf.eff.pred,TEFFPHL,time,"Effective half-life (based on MRT,pred)","Effective half-life (based on MRT,pred)",The effective half-life (as determined from the MRTpred),pk.calc.thalf.eff,F,ADPP
time_above,TAT,time,Time above Concentration,Time above Concentration,Time above a given concentration,pk.calc.time_above,T,ADPP
tlag,TLAG,time,Tlag,Tlag,Lag time,pk.calc.tlag,T,ADPP
tlast,TLST,time,Tlast,Tlast,Time of the last concentration observed above the limit of quantification,pk.calc.tlast,T,ADPP
tmax,TMAX,time,Tmax,Tmax,Time of the maximum observed concentration,pk.calc.tmax,T,ADPP
totdose,TOTDOSE,dose,Total dose,Total dose,Total dose administered during an interval,pk.calc.totdose,F,ADPP
vss.iv.last,VSSIVLST,volume,"Vss (for IV dosing, based on AUClast)","Vss (for IV dosing, based on AUClast)",The steady-state volume of distribution with intravenous infusion calculating through Tlast,pk.calc.vss,F,ADPP
vss.iv.obs,VSSIVO,volume,"Vss (for IV dosing, based on AUCinf,obs)","Vss (for IV dosing, based on AUCinf,obs)",The steady-state volume of distribution with intravenous infusion using observed Clast,pk.calc.vss,F,ADPP
vss.iv.pred,VSSIVP,volume,"Vss (for IV dosing, based on AUCinf,pred)","Vss (for IV dosing, based on AUCinf,pred)",The steady-state volume of distribution with intravenous infusion using predicted Clast,pk.calc.vss,F,ADPP
vss.last,VSSLST,volume,Vss (based on AUClast),Vss (based on AUClast),The steady-state volume of distribution calculating through Tlast,pk.calc.vss,F,ADPP
vss.md.obs,VSSMDO,volume,"Vss (for multiple-dose, based on Clast,obs)","Vss (for multiple-dose, based on Clast,obs)",The steady-state volume of distribution for nonlinear multiple-dose data using observed Clast,pk.calc.vss,F,ADPP
vss.md.pred,VSSMDP,volume,"Vss (for multiple-dose, based on Clast,pred)","Vss (for multiple-dose, based on Clast,pred)",The steady-state volume of distribution for nonlinear multiple-dose data using predicted Clast,pk.calc.vss,F,ADPP
vss.obs,VSSO,volume,"Vss (based on AUCinf,obs)","Vss (based on AUCinf,obs)",The steady-state volume of distribution using observed Clast,pk.calc.vss,T,ADPP
vss.pred,VSSP,volume,"Vss (based on AUCinf,pred)","Vss (based on AUCinf,pred)",The steady-state volume of distribution using predicted Clast,pk.calc.vss,T,ADPP
vz.obs,VZO,volume,"Vz (based on AUCinf,obs)","Vz (based on AUCinf,obs)",The terminal volume of distribution using observed Clast,pk.calc.vz,T,ADPP
vz.pred,VZP,volume,"Vz (based on AUCinf,pred)","Vz (based on AUCinf,pred)",The terminal volume of distribution using predicted Clast,pk.calc.vz,T,ADPP
STUDYID,,,Study Identifier,Study Identifier,,,ADPC,
USUBJID,,,Unique Subject Identifier,Unique Subject Identifier,,,ADPC,
SUBJID,,,Subject Identifier for the Study,Subject Identifier for the Study,,,ADPC,
SITEID,,,Study Site Identifier,Study Site Identifier,,,ADPC,
ASEQ,,,Analysis Sequence Number,Analysis Sequence Number,,,ADPC,
REGION1,,,Geographic Region 1,Geographic Region 1,,,ADPC,
COUNTRY,,,Country,Country,,,ADPC,
ETHNIC,,,Ethnicity,Ethnicity,,,ADPC,
AGE,,,Age,Age,,,ADPC,
AGEU,,,Age Units,Age Units,,,ADPC,
AAGE,,,Analysis Age,Analysis Age,,,ADPC,
AAGEU,,,Analysis Age Unit,Analysis Age Unit,,,ADPC,
AGEGR1,,,Pooled Age Group 1,Pooled Age Group 1,,,ADPC,
AGEGR2,,,Pooled Age Group 2,Pooled Age Group 2,,,ADPC,
AGEGR3,,,Pooled Age Group 3,Pooled Age Group 3,,,ADPC,
STRATwNM,,,Description of Stratum w,Description of Stratum w,,,ADPC,
STRATw,,,Randomized Value of Stratum w,Randomized Value of Stratum w,,,ADPC,
STRATwV,,,Verified Value of Stratum w,Verified Value of Stratum w,,,ADPC,
SEX,,,Sex,Sex,,,ADPC,
RACE,,,Race,Race,,,ADPC,
ITTFL,,,Intent-To-Treat Population Flag,Intent-To-Treat Population Flag,,,ADPC,
SAFFL,,,Safety Population Flag,Safety Population Flag,,,ADPC,
PPROTFL,,,Per-Protocol Population Flag,Per-Protocol Population Flag,,,ADPC,
TRT01P,,,Planned Treatment for Period 01,Planned Treatment for Period 01,,,ADPC,
TRT02P,,,Planned Treatment for Period 02,Planned Treatment for Period 02,,,ADPC,
TRT03P,,,Planned Treatment for Period 03,Planned Treatment for Period 03,,,ADPC,
TRT04P,,,Planned Treatment for Period 04,Planned Treatment for Period 04,,,ADPC,
TRT05P,,,Planned Treatment for Period 05,Planned Treatment for Period 05,,,ADPC,
TRT01A,,,Actual Treatment for Period 01,Actual Treatment for Period 01,,,ADPC,
TRT02A,,,Actual Treatment for Period 02,Actual Treatment for Period 02,,,ADPC,
TRT03A,,,Actual Treatment for Period 03,Actual Treatment for Period 03,,,ADPC,
TRT04A,,,Actual Treatment for Period 04,Actual Treatment for Period 04,,,ADPC,
TRT05A,,,Actual Treatment for Period 05,Actual Treatment for Period 05,,,ADPC,
TRTSEQP,,,Planned Sequence of Treatments,Planned Sequence of Treatments,,,ADPC,
TRTSEQA,,,Actual Sequence of Treatments,Actual Sequence of Treatments,,,ADPC,
TRTSDTM,,,Datetime of First Exposure to Treatment,Datetime of First Exposure to Treatment,,,ADPC,
TRTSDT,,,Date of First Exposure to Treatment,Date of First Exposure to Treatment,,,ADPC,
TRTEDTM,,,Datetime of Last Exposure to Treatment,Datetime of Last Exposure to Treatment,,,ADPC,
TRTEDT,,,Date of Last Exposure to Treatment,Date of Last Exposure to Treatment,,,ADPC,
DCUTDT,,,Date of Data Cut,Date of Data Cut,,,ADPC,
PCSEQ,,,Sequence Number,Sequence Number,,,ADPC,
PCGRPID,,,Group ID,Group ID,,,ADPC,
PCREFID,,,Reference ID,Reference ID,,,ADPC,
PCSPID,,,Sponsor-Defined Identifier,Sponsor-Defined Identifier,,,ADPC,
PCTESTCD,,,Pharmacokinetic Test Short Name,Pharmacokinetic Test Short Name,,,ADPC,
PCTEST,,,Pharmacokinetic Test Name,Pharmacokinetic Test Name,,,ADPC,
PCCAT,,,Test Category,Test Category,,,ADPC,
PCSCAT,,,Test Subcategory,Test Subcategory,,,ADPC,
PCSTRESC,,,Character Result/Finding in Std Format,Character Result/Finding in Std Format,,,ADPC,
PCSTRESN,,,Numeric Result/Finding in Standard Units,Numeric Result/Finding in Standard Units,,,ADPC,
PCSTRESU,,,Standard Units,Standard Units,,,ADPC,
PCSTAT,,,Completion Status,Completion Status,,,ADPC,
PCREASND,,,Reason Test Not Done,Reason Test Not Done,,,ADPC,
PCSPEC,,,Specimen Material Type,Specimen Material Type,,,ADPC,
PCSPCCND,,,Specimen Condition,Specimen Condition,,,ADPC,
PCMETHOD,,,Method of Test or Examination,Method of Test or Examination,,,ADPC,
PCFAST,,,Fasting Status,Fasting Status,,,ADPC,
PCLLOQ,,,Lower Limit of Quantitation,Lower Limit of Quantitation,,,ADPC,
VISITNUM,,,Visit Number,Visit Number,,,ADPC,
VISIT,,,Visit Name,Visit Name,,,ADPC,
VISITDY,,,Planned Study Day of Visit,Planned Study Day of Visit,,,ADPC,
EPOCH,,,Epoch,Epoch,,,ADPC,
PCDTC,,,Date/Time of Specimen Collection,Date/Time of Specimen Collection,,,ADPC,
PCDY,,,Actual Study Day of Specimen Collection,Actual Study Day of Specimen Collection,,,ADPC,
PCTPT,,,Planned Time Point Name,Planned Time Point Name,,,ADPC,
PCTPTNUM,,,Planned Time Point Number,Planned Time Point Number,,,ADPC,
PCSMPLID,,,Alternate Sample Identifier,Alternate Sample Identifier,,,ADPC,
PCAINTP,,,Assay Interpretation,Assay Interpretation,,,ADPC,
PARAM,,,Parameter,Parameter,,,ADPC,
PARAMCD,,,Parameter Code,Parameter Code,,,ADPC,
PARCAT1,,,Parameter Category 1,Parameter Category 1,,,ADPC,
AVAL,,,Analysis Value,Analysis Value,,,ADPC,
AVALCAT1,,,Analysis Value Category 1,Analysis Value Category 1,,,ADPC,
AVALU,,,Analysis Value Unit,Analysis Value Unit,,,ADPC,
BASE,,,Baseline Value,Baseline Value,,,ADPC,
BASETYPE,,,Baseline Type,Baseline Type,,,ADPC,
ABLFL,,,Baseline Record Flag,Baseline Record Flag,,,ADPC,
ALLOQ,,,Analysis Lower Limit of Quantitation,Analysis Lower Limit of Quantitation,,,ADPC,
ADTM,,,Analysis Datetime,Analysis Datetime,,,ADPC,
ADT,,,Analysis Date,Analysis Date,,,ADPC,
ATM,,,Analysis Time,Analysis Time,,,ADPC,
ADY,,,Analysis Relative Day,Analysis Relative Day,,,ADPC,
ADTF,,,Analysis Date Imputation Flag,Analysis Date Imputation Flag,,,ADPC,
ATMF,,,Analysis Time Imputation Flag,Analysis Time Imputation Flag,,,ADPC,
ASTDT,,,Analysis Start Date,Analysis Start Date,,,ADPC,
ASTTM,,,Analysis Start Time,Analysis Start Time,,,ADPC,
ASTDTM,,,Analysis Start Date/Time,Analysis Start Date/Time,,,ADPC,
ASTDTF,,,Analysis Start Date Imputation Flag,Analysis Start Date Imputation Flag,,,ADPC,
ASTTMF,,,Analysis Start Time Imputation Flag,Analysis Start Time Imputation Flag,,,ADPC,
AENDT,,,Analysis End Date,Analysis End Date,,,ADPC,
AENTM,,,Analysis End Time,Analysis End Time,,,ADPC,
AENDTM,,,Analysis End Date/Time,Analysis End Date/Time,,,ADPC,
